id,name,certification_point,altitude,region,address,latitude,longitude,image_url,first_char
28,도봉산,신선대,740,서울특별시,서울 도봉구 도봉동,37.698506,127.015026,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/151_0_20131128637.jpg,ㄷ
29,동악산(곡성),시루봉,735,전라남도,전남 곡성군 곡성읍,35.282,127.251925,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/221_0_20131128687.jpg,ㄷ
30,두륜산,가련봉,703,전라남도,전남 해남군 삼산면,34.471914,126.637561,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/214_0_20131128338.jpg,ㄷ
31,두타산,정상,1353,강원도,강원 삼척시 하장면,37.426639,129.004428,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/152_0_20131128262.jpg,ㄷ
32,마니산(강화도),정상,472,인천광역시,인천 강화군 화도면,37.615564,126.430025,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/1380_0_20170901942.jpg,ㅁ
33,마이산(진안),비룡대,686,전라북도,전북,35.763584,127.396739,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/1931_0_20131128121.jpg,ㅁ
34,명지산,정상,1267,경기도,경기 가평군 북면,37.941532,127.432207,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/154_0_20131128941.jpg,ㅁ
35,모악산,정상,793,전라북도,전북 완주군 구이면,35.728588,127.08524,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/223_0_20131128365.jpg,ㅁ
36,무등산,서석대 정상석/ 인왕봉 정상석,1100,광주광역시,광주 동구 지산동,35.120971,127.002791,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_155_0_1730879717_.png,ㅁ
37,민주지산,정상,1241,충청북도,충북 영동군 용화면,36.039956,127.849098,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_189_0_1742866784_.jpg,ㅁ
38,방장산,정상,742,전라남도,전남 장성군 북이면,35.455635,126.754379,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_157_0_1634271056_.jpg,ㅂ
39,방태산,주억봉,1444,강원도,강원 인제군 기린면,37.888115,128.390009,https://ssproxy.ucloudbiz.olleh.com/v1/AUTH_aa0c3b93-1abc-4592-8744-2c2e0e039cd4/program_place_image/program_place_158_0_1742801402_.png,ㅂ
